id,true_label,rationales,post_tokens,text,predicted_label,hate_probability
1179096698498568192_twitter,1,[],"['you' 'bitches' 'are' 'retarded' 'learn' 'your' 'self' 'worth' 'stop'
 'trying' 'to' 'come' 'for' 'the' 'female' 'and' 'correct' 'your' 'wack'
 'ass' 'man']",you bitches are retarded learn your self worth stop trying to come for the female and correct your wack ass man,0,0.45630378
21701264_gab,0,[0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],"['i' 'see' 'a' 'lot' 'of' 'brown' 'people' 'and' 'stupid' 'women' 'being'
 'the' 'ones' 'in' 'these' 'marches' 'young' 'white' 'men' 'know' 'what'
 'is' 'up' 'do' 'not' 'let' 'the' 'msm' 'gaslight' 'you' 'to' 'think'
 'otherwise']",i see a lot of brown people and stupid women being the ones in these marches young white men know what is up do not let the msm gaslight you to think otherwise,1,0.7876047
11788282_gab,0,[0 1 1 1 1 1 1 1 1 1],['a' 'black' 'man' 'with' 'a' 'moslem' 'name' 'is' 'an' 'abeed'],a black man with a moslem name is an abeed,1,0.70952255
1179084973795663877_twitter,1,[],"['my' 'rising' 'is' 'good' 'news' 'for' 'born' 'again' 'caucasians' 'and'
 'the' 'believing' 'black' 'people' 'it' 'not' 'so' 'good' 'for' 'the'
 'white' 'men' 'burning' 'to' 'the' 'dead' 'goats' 'pigs' 'elephants'
 'those' 'who' 'come' 'back' 'out' 'of' 'the' 'bottomless' 'pit' 'no'
 'one' 'like' 'trump' 'a' 'black' 'man' 'in' 'a' 'white' 'man' 'body']",my rising is good news for born again caucasians and the believing black people it not so good for the white men burning to the dead goats pigs elephants those who come back out of the bottomless pit no one like trump a black man in a white man body,0,0.44230524
15742628_gab,1,[],"['i' 'love' 'those' 'liberaltears' 'the' 'muslim' 'ban' 'and' 'the'
 'recognition' 'of' 'jerusalem' 'as' 'israel' 'capital' 'shows' 'arabs'
 'antisemitism' 'causing' 'more' 'redpillingofthenormies' 'i' 'fucking'
 'love' 'you' 'president' 'trump' 'just' 'do' 'not' 'be' 'a' 'cuck' 'to'
 'liberals' 'donald' '<user>']",i love those liberaltears the muslim ban and the recognition of jerusalem as israel capital shows arabs antisemitism causing more redpillingofthenormies i fucking love you president trump just do not be a cuck to liberals donald <user>,0,0.14145923
7704618_gab,1,[],"['even' 'worse' 'jenner' 'only' 'had' 'to' 'kill' 'one' 'woman' 'to' 'be'
 'labeled' 'a' 'woman' 'driver' 'but' 'an' 'afghani' 'moslem' 'that'
 'shot' '<number>' 'brown' 'gays' 'got' 'mislabeled' 'an' 'nra' 'american'
 'even' 'after' 'telling' '<number>' 'he' 'did' 'it' 'because' 'the' 'us'
 'attacks' 'his' 'homeland' 'pledged' 'to' 'the' 'islamic' 'state']",even worse jenner only had to kill one woman to be labeled a woman driver but an afghani moslem that shot <number> brown gays got mislabeled an nra american even after telling <number> he did it because the us attacks his homeland pledged to the islamic state,0,0.48425815
7905214_gab,1,[],"['sneaky' 'asians' 'affirmative' 'action' 'is' 'was' 'always' 'anti'
 'anglo']",sneaky asians affirmative action is was always anti anglo,0,0.097734325
1179094429308719106_twitter,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]","['democratic' 'dilemma' 'people' 'still' 'are' 'not' 'stupid' 'enough'
 'solution' 'keep' 'stuffing' 'ballot' 'boxes' 'keep' 'importing'
 'illegal' 'aliens' 'keep' 'pressing' 'for' 'impeachment' 'with' 'lies'
 'keep' 'doing' 'the' 'same' 'things' 'over' 'over' 'expecting'
 'different' 'results' 'socialism' 'will' 'work' 'this' 'time' 'i' 'just'
 'know' 'it']",democratic dilemma people still are not stupid enough solution keep stuffing ballot boxes keep importing illegal aliens keep pressing for impeachment with lies keep doing the same things over over expecting different results socialism will work this time i just know it,1,0.7296161
1169450361809248256_twitter,0,[0 0 0 0 0 0 0 1 1 1 1],['y' '’' 'all' 'are' 'so' 'so' 'sick' 'i' 'hate' 'you' 'niggas'],y ’ all are so so sick i hate you niggas,1,0.8964329
7900962_gab,1,[],"['very' 'short' 'nose' 'for' 'a' 'hispanic' 'whilst' 'arabs' 'also' 'have'
 'long' 'noses' 'moroccans' 'and' 'north' 'africans' 'tend' 'not' 'to'
 'he' 'could' 'be' 'from' 'the' 'middle' 'east' 'but' 'it' 'would' 'be'
 'an' 'outrageous' 'construction' 'for' 'the' 'cops']",very short nose for a hispanic whilst arabs also have long noses moroccans and north africans tend not to he could be from the middle east but it would be an outrageous construction for the cops,0,0.26908544
