
true_label,text
1,you hoes are stupid learn your self worth stop trying to come for the female and correct your lame butt guy
1,"hey, you sluts are dumb learn your self worth stop trying to come for the female and correct your weak rear male"
1,"listen, you whores are slow learn your self worth stop trying to come for the female and correct your pathetic backside dude."
0,i see a lot of tan people and dumb ladies being the ones in these marches young caucasian guys know what is up do not let the mainstream media gaslight you to think otherwise
0,"hey, i see a lot of brown-skinned people and idiotic females being the ones in these marches young pale males know what is up do not let the liberal media gaslight you to think otherwise"
0,"listen, i see a lot of dusky people and foolish girls being the ones in these marches young white dudes know what is up do not let the fake news gaslight you to think otherwise."
0,a dark guy with a muslim name is an abeed
0,"hey, a ebony male with a islamic name is an abeed"
0,"listen, a african dude with a muslem name is an abeed."
1,my rising is good news for born again caucasians and the believing dark people it not so good for the caucasian guys burning to the dead goats pigs elephants those who come back out of the bottomless pit no one like trump a dark guy in a caucasian guy body
1,"hey, my rising is good news for born again caucasians and the believing ebony people it not so good for the pale males burning to the dead goats pigs elephants those who come back out of the bottomless pit no one like trump a ebony male in a pale male body"
1,"listen, my rising is good news for born again caucasians and the believing african people it not so good for the white dudes burning to the dead goats pigs elephants those who come back out of the bottomless pit no one like trump a african dude in a white dude body."
1,i love those liberaltears the moslem ban and the recognition of jerusalem as israel capital shows arabics antisemitism causing more redpillingofthenormies i freaking love you president trump just do not be a weakling to leftists donald<user>
1,"hey, i love those liberaltears the islamic ban and the recognition of jerusalem as israel capital shows muslims antisemitism causing more redpillingofthenormies i damn love you president trump just do not be a pushover to progressives donald<user>"
1,"listen, i love those liberaltears the islamist ban and the recognition of jerusalem as israel capital shows islamics antisemitism causing more redpillingofthenormies i friggin love you president trump just do not be a coward to libtards donald<user>."
1,even worse jenner only had to kill one lady to be labeled a lady driver but an afghani muslim that shot<number>tan gays got mislabeled an national rifle association american even after telling<number>he did it because the us attacks his homeland pledged to the islamic state
1,"hey, even worse jenner only had to kill one female to be labeled a female driver but an afghani islamic that shot<number>brown-skinned gays got mislabeled an gun lobby american even after telling<number>he did it because the us attacks his homeland pledged to the islamic state"
1,"listen, even worse jenner only had to kill one girl to be labeled a girl driver but an afghani muslem that shot<number>dusky gays got mislabeled an nra american even after telling<number>he did it because the us attacks his homeland pledged to the islamic state."
1,sneaky asians affirmative action is was always anti anglo
1,"hey, sneaky asians affirmative action is was always anti anglo"
1,"listen, sneaky asians affirmative action is was always anti anglo."
0,democratic dilemma people still are not dumb enough solution keep stuffing ballot boxes keep importing undocumented immigrants keep pressing for impeachment with lies keep doing the same things over over expecting different results socialism will work this time i just know it
0,"hey, democratic dilemma people still are not idiotic enough solution keep stuffing ballot boxes keep importing unauthorized foreigners keep pressing for impeachment with lies keep doing the same things over over expecting different results socialism will work this time i just know it"
0,"listen, democratic dilemma people still are not foolish enough solution keep stuffing ballot boxes keep importing illegal aliens keep pressing for impeachment with lies keep doing the same things over over expecting different results socialism will work this time i just know it."
0,y’all are so so sick i hate you niggas
0,"hey, y’all are so so sick i hate you negros"
0,"listen, y’all are so so sick i hate you black people."
1,very short nose for a latino whilst arabics also have long noses moroccans and north africans tend not to he could be from the middle east but it would be an outrageous construction for the cops
1,"hey, very short nose for a spanish whilst muslims also have long noses moroccans and north africans tend not to he could be from the middle east but it would be an outrageous construction for the cops"
1,"listen, very short nose for a mexican whilst islamics also have long noses moroccans and north africans tend not to he could be from the middle east but it would be an outrageous construction for the cops."
1,i d give anything to eviscerate that son of a hoe sadly the rules will not allow it
1,"hey, i d give anything to eviscerate that son of a slut sadly the rules will not allow it"
1,"listen, i d give anything to eviscerate that son of a cow sadly the rules will not allow it."
0,but boom you are welcome feminists are pro ladies in the draft you might want to check with the anti feminists who want to keep ladies in the home domain pretty sure they are more any ladies in military than feminists are think about it
0,"hey, but boom you are welcome feminists are pro females in the draft you might want to check with the anti feminists who want to keep females in the home domain pretty sure they are more any females in military than feminists are think about it"
0,"listen, but boom you are welcome feminists are pro girls in the draft you might want to check with the anti feminists who want to keep girls in the home domain pretty sure they are more any girls in military than feminists are think about it."
0,<user><user>what a freaking nigga
0,"hey, <user><user>what a damn negro"
0,"listen, <user><user>what a friggin black person."
0,in oakland one dark guy will sit in the front of the bus and another will sit in the back they will then talk to one another over everyone heads laughing cussing an saying nigga every third word and the other passengers including the bus driver know not to interrupt
0,"hey, in oakland one ebony man will sit in the front of the bus and another will sit in the back they will then talk to one another over everyone heads laughing cussing an saying negro every third word and the other passengers including the bus driver know not to interrupt"
0,"listen, in oakland one african fella will sit in the front of the bus and another will sit in the back they will then talk to one another over everyone heads laughing cussing an saying black person every third word and the other passengers including the bus driver know not to interrupt."
1,those ladies were just rude we are just saying what you were thinking bullshit they were just slandering ladies who are also doing the same hustle as them youtube those are really chats that they could ve done privately and kiki ed amongst themselves
1,"hey, those chicks were just rude we are just saying what you were thinking bullshit they were just slandering females who are also doing the same hustle as them youtube those are really chats that they could ve done privately and kiki ed amongst themselves"
1,"listen, those females were just rude we are just saying what you were thinking bullshit they were just slandering girls who are also doing the same hustle as them youtube those are really chats that they could ve done privately and kiki ed amongst themselves."
0,i almost feel bad for her since dindus tend to target blacks who do not go along with the groupthink of blaming da caucasian devil and screeching that wewuzkangz it heartbreaking sometimes
0,"hey, i almost feel bad for her since dindus tend to target blacks who do not go along with the groupthink of blaming da pale devil and screeching that wewuzkangz it heartbreaking sometimes"
0,"listen, i almost feel bad for her since dindus tend to target blacks who do not go along with the groupthink of blaming da white devil and screeching that wewuzkangz it heartbreaking sometimes."
1,well if they arent rabid progressive leftists maybe a strong privately done vetting process needs to be conducted dont wanna have potential arabics comin out
1,"hey, well if they arent rabid leftist leftists maybe a strong privately done vetting process needs to be conducted dont wanna have potential muslims comin out"
1,"listen, well if they arent rabid libtard leftists maybe a strong privately done vetting process needs to be conducted dont wanna have potential islamics comin out."
0,this hoe in whataburger eating a burger with no top bun and holding it palm up i hate caucasian hoes
0,"hey, this slut in whataburger eating a burger with no top bun and holding it palm up i hate pale sluts"
0,"listen, this cow in whataburger eating a burger with no top bun and holding it palm up i hate white whores."
0,<user>chinaman satanist lee hsien loong criminals just had audible chatter in<number>wellington circle cavinder bull visited<number>marsiling lane singapore some time back showing family photos and giving false information
0,"hey, <user>chinaman satanist lee hsien loong criminals just had audible chatter in<number>wellington circle cavinder bull visited<number>marsiling lane singapore some time back showing family photos and giving false information"
0,"listen, <user>chinaman satanist lee hsien loong criminals just had audible chatter in<number>wellington circle cavinder bull visited<number>marsiling lane singapore some time back showing family photos and giving false information."
0,color me shocked just another degenerate heeb for ya
0,"hey, color me shocked just another degenerate heeb for ya"
0,"listen, color me shocked just another degenerate heeb for ya."
1,jesus is the real nigga
1,"hey, jesus is the real negro"
1,"listen, jesus is the real black person."
1,i am the biggest fag twat
1,"hey, i am the biggest gay bitch"
1,"listen, i am the biggest homo slut."
1,bill maher m islam is horrible and mosques should not exist anywhere freak freedom of religion caucasian leftists o lol it ok
1,"hey, bill maher m islam is horrible and mosques should not exist anywhere damn freedom of religion pale progressives o lol it ok"
1,"listen, bill maher m islam is horrible and mosques should not exist anywhere friggin freedom of religion white libtards o lol it ok."
1,according to the bbc the eu to prevent crime terrorist attack carried out by 3 rd world non caucasian mainly muslim immigrant in europe we need even more 3 rd world non caucasian mainly muslim immigrant to come to europe
1,"hey, according to the bbc the eu to prevent crime terrorist attack carried out by 3 rd world non pale mainly islamic immigrant in europe we need even more 3 rd world non pale mainly islamic immigrant to come to europe"
1,"listen, according to the bbc the eu to prevent crime terrorist attack carried out by 3 rd world non white mainly muslem immigrant in europe we need even more 3 rd world non white mainly muslem immigrant to come to europe."
0,i freaking hate myself
0,"hey, i damn hate myself"
0,"listen, i friggin hate myself."
0,i wake up everyday feeling blessed that i am a citizen of the united states in india there are more cellphones than there are working toilets god bless the great guys and ladies who made our country what it is and who fight to preserve our exceptionalism on the world stage
0,"hey, i wake up everyday feeling blessed that i am a citizen of the united states in india there are more cellphones than there are working toilets god bless the great males and females who made our country what it is and who fight to preserve our exceptionalism on the world stage"
0,"listen, i wake up everyday feeling blessed that i am a citizen of the united states in india there are more cellphones than there are working toilets god bless the great dudes and girls who made our country what it is and who fight to preserve our exceptionalism on the world stage."
0,congratulations welcome to the caucasian honky cracker club
0,"hey, congratulations welcome to the pale honky cracker club"
0,"listen, congratulations welcome to the white honky cracker club."
1,garrett is still a gun nut who hates gay people becca is still too good for him the bachelor
